SiteID,Reach,Watershed,Physiographic Province,Date,Phylum,Class,Order,Family,Genus,Count
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Plecoptera,Capniidae,,2
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,9
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,,,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Agapetus,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,22
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,5
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Limnephilidae,Hydatophylax,2
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,3
QCNF01,Reference,Quantico Creek,Piedmont,2005,Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,Sphaerium,2
QCNF01,Reference,Quantico Creek,Piedmont,2005,Mollusca,Gastropoda,Limnophila,Ancylidae,Ferrissia,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Annelida,Oligochaeta,,,,40
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Arachnida,Acariformes,Lebertiidae,Lebertia,3
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Arachnida,Acariformes,Sperchonidae,Sperchon,3
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Arachnida,Acariformes,Torrenticolidae,Torrenticola,2
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Crustacea,Amphipoda,Crangonyctidae,Crangonyx,6
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,5
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,4
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Diptera,Chironomidae,,31
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Diptera,Empididae,Clinocera,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Diptera,Simuliidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,14
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Baetidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Baetidae,Plauditis,10
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Attenella,2
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,9
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,6
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,2
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Lepidoptera,,,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Megaloptera,Corydalidae,Nigronia,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Odonata,Gomphidae,,2
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Odonata,Macromiidae,Macromia,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,31
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Plecoptera,Perlodidae,,9
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Taeniopteryx,19
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptila,1
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Trichoptera,Limnephilidae,Pycnopsyche,2
QCNF01,Reference,Quantico Creek,Piedmont,2006,Arthropoda,Insecta,Trichoptera,Uenoidae,Neophylax,3
QCNF01,Reference,Quantico Creek,Piedmont,2006,Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,Sphaerium,3
QCNF01,Reference,Quantico Creek,Piedmont,2007,Annelida,Oligochaeta,,,,19
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Arachnida,Acariformes,Lebertiidae,Lebertia,5
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Arachnida,Acariformes,Sperchonidae,Sperchon,4
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Crustacea,Decapoda,Cambaridae,Cambarus,2
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,2
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,4
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Chironomidae,,30
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Simuliidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,81
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Diptera,Simuliidae,Stegopterna,3
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Ephemeroptera,Baetidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Ephemeroptera,Baetidae,Diphetor,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Ephemeroptera,Baetidae,Heterocloeon,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,2
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Plecoptera,Leuctridae,,2
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,16
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Plecoptera,Nemouridae,Paranemoura,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Plecoptera,Perlodidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Trichoptera,Brachycentridae,Micrasema,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,2
QCNF01,Reference,Quantico Creek,Piedmont,2007,Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2007,Platyhelminthes,Turbellaria,Tricladida,Planariidae,,3
QCNF01,Reference,Quantico Creek,Piedmont,2008,Annelida,Oligochaeta,,,,4
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,2
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,2
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Diptera,Chironomidae,,12
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Diptera,Empididae,Chelifera,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,38
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,99
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,6
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,3
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,2
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,4
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,4
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Plecoptera,Leuctridae,Paraleuctra,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,18
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,7
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Trichoptera,Brachycentridae,Micrasema,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,2
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Trichoptera,Philopotamidae,Wormaldia,6
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,1
QCNF01,Reference,Quantico Creek,Piedmont,2008,Arthropoda,Insecta,Trichoptera,Uenoidae,Neophylax,2
QCNF01,Reference,Quantico Creek,Piedmont,2008,Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Annelida,Oligochaeta,,,,9
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Diptera,Chironomidae,,112
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Diptera,Empididae,Hemerodromia,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,12
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,19
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,3
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,3
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Megaloptera,Corydalidae,Nigronia,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Plecoptera,Leuctridae,,3
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,4
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Plecoptera,Nemouridae,Shipsa,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Taeniopteryx,1
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,3
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,12
QCNF01,Reference,Quantico Creek,Piedmont,2009,Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,3
QCNF01,Reference,Quantico Creek,Piedmont,2010,Annelida,Oligochaeta,,,,4
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Crustacea,Amphipoda,Crangonyctidae,Crangonyx,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,2
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,4
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Diptera,Ceratopogonidae,Stilobezzia,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Diptera,Chironomidae,,8
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,83
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,2
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Baetidae,Heterocloeon,4
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,2
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,9
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,2
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,4
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,4
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Megaloptera,Corydalidae,Nigronia,5
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Odonata,Corduliidae,Epitheca,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Plecoptera,,,8
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,22
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Plecoptera,Nemouridae,Shipsa,2
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,3
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Plecoptera,Perlidae,Eccoptura,2
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,,,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,8
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,3
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,Limnephilidae,Hydatophylax,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,6
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,1
QCNF01,Reference,Quantico Creek,Piedmont,2010,Arthropoda,Insecta,Trichoptera,Uenoidae,Neophylax,2
QCNF01,Reference,Quantico Creek,Piedmont,2011,Annelida,Oligochaeta,,,,6
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Crustacea,Decapoda,Cambaridae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,2
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Diptera,Chironomidae,,6
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,170
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,11
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,2
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,1
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,2
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Plecoptera,Leuctridae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,10
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Plecoptera,Perlidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2011,Arthropoda,Insecta,Plecoptera,Perlodidae,,1
